[2025-02-18 10:29:24] Application app1 created successfully for Gemini (Backend: 5301, Frontend: 5801)
[2025-02-18 10:29:24] Application app2 created successfully for Gemini (Backend: 5303, Frontend: 5803)
[2025-02-18 10:29:24] Application app3 created successfully for Gemini (Backend: 5305, Frontend: 5805)
[2025-02-18 10:29:24] Application app4 created successfully for Gemini (Backend: 5307, Frontend: 5807)
[2025-02-18 10:29:24] Application app5 created successfully for Gemini (Backend: 5309, Frontend: 5809)
[2025-02-18 10:29:24] Application app6 created successfully for Gemini (Backend: 5311, Frontend: 5811)
[2025-02-18 10:29:24] Application app7 created successfully for Gemini (Backend: 5313, Frontend: 5813)
[2025-02-18 10:29:24] Application app8 created successfully for Gemini (Backend: 5315, Frontend: 5815)
[2025-02-18 10:29:24] Application app9 created successfully for Gemini (Backend: 5317, Frontend: 5817)
[2025-02-18 10:29:24] Application app10 created successfully for Gemini (Backend: 5319, Frontend: 5819)
[2025-02-18 10:29:24] Application app11 created successfully for Gemini (Backend: 5321, Frontend: 5821)
[2025-02-18 10:29:24] Application app12 created successfully for Gemini (Backend: 5323, Frontend: 5823)
[2025-02-18 10:29:24] Application app13 created successfully for Gemini (Backend: 5325, Frontend: 5825)
[2025-02-18 10:29:24] Application app14 created successfully for Gemini (Backend: 5327, Frontend: 5827)
[2025-02-18 10:29:24] Application app15 created successfully for Gemini (Backend: 5329, Frontend: 5829)
[2025-02-18 10:29:24] Application app16 created successfully for Gemini (Backend: 5331, Frontend: 5831)
[2025-02-18 10:29:24] Application app17 created successfully for Gemini (Backend: 5333, Frontend: 5833)
[2025-02-18 10:29:24] Application app18 created successfully for Gemini (Backend: 5335, Frontend: 5835)
[2025-02-18 10:29:24] Application app19 created successfully for Gemini (Backend: 5337, Frontend: 5837)
[2025-02-18 10:29:24] Application app20 created successfully for Gemini (Backend: 5339, Frontend: 5839)
[2025-02-18 10:30:49] Application app1 created successfully for Gemini (Backend: 5301, Frontend: 5801)
[2025-02-18 10:30:49] Application app2 created successfully for Gemini (Backend: 5303, Frontend: 5803)
[2025-02-18 10:30:49] Application app3 created successfully for Gemini (Backend: 5305, Frontend: 5805)
[2025-02-18 10:30:49] Application app4 created successfully for Gemini (Backend: 5307, Frontend: 5807)
[2025-02-18 10:30:49] Application app5 created successfully for Gemini (Backend: 5309, Frontend: 5809)
[2025-02-18 10:30:49] Application app6 created successfully for Gemini (Backend: 5311, Frontend: 5811)
[2025-02-18 10:30:49] Application app7 created successfully for Gemini (Backend: 5313, Frontend: 5813)
[2025-02-18 10:30:49] Application app8 created successfully for Gemini (Backend: 5315, Frontend: 5815)
[2025-02-18 10:30:49] Application app9 created successfully for Gemini (Backend: 5317, Frontend: 5817)
[2025-02-18 10:30:49] Application app10 created successfully for Gemini (Backend: 5319, Frontend: 5819)
[2025-02-18 10:30:49] Application app11 created successfully for Gemini (Backend: 5321, Frontend: 5821)
[2025-02-18 10:30:49] Application app12 created successfully for Gemini (Backend: 5323, Frontend: 5823)
[2025-02-18 10:30:49] Application app13 created successfully for Gemini (Backend: 5325, Frontend: 5825)
[2025-02-18 10:30:49] Application app14 created successfully for Gemini (Backend: 5327, Frontend: 5827)
[2025-02-18 10:30:49] Application app15 created successfully for Gemini (Backend: 5329, Frontend: 5829)
[2025-02-18 10:30:49] Application app16 created successfully for Gemini (Backend: 5331, Frontend: 5831)
[2025-02-18 10:30:49] Application app17 created successfully for Gemini (Backend: 5333, Frontend: 5833)
[2025-02-18 10:30:49] Application app18 created successfully for Gemini (Backend: 5335, Frontend: 5835)
[2025-02-18 10:30:49] Application app19 created successfully for Gemini (Backend: 5337, Frontend: 5837)
[2025-02-18 10:30:49] Application app20 created successfully for Gemini (Backend: 5339, Frontend: 5839)
[2025-02-18 10:32:19] Created base directory: C:/Users/grabowmar/Desktop/ThesisAppsSvelte/Gemini
[2025-02-18 10:32:19] Application app1 created successfully for Gemini (Backend: 5301, Frontend: 5801)
[2025-02-18 10:32:19] Application app2 created successfully for Gemini (Backend: 5303, Frontend: 5803)
[2025-02-18 10:32:19] Application app3 created successfully for Gemini (Backend: 5305, Frontend: 5805)
[2025-02-18 10:32:19] Application app4 created successfully for Gemini (Backend: 5307, Frontend: 5807)
[2025-02-18 10:32:19] Application app5 created successfully for Gemini (Backend: 5309, Frontend: 5809)
