[2025-02-18 10:29:24] Application app1 created successfully for Grok (Backend: 5361, Frontend: 5861)
[2025-02-18 10:29:24] Application app2 created successfully for Grok (Backend: 5363, Frontend: 5863)
[2025-02-18 10:29:24] Application app3 created successfully for Grok (Backend: 5365, Frontend: 5865)
[2025-02-18 10:29:24] Application app4 created successfully for Grok (Backend: 5367, Frontend: 5867)
[2025-02-18 10:29:24] Application app5 created successfully for Grok (Backend: 5369, Frontend: 5869)
[2025-02-18 10:29:24] Application app6 created successfully for Grok (Backend: 5371, Frontend: 5871)
[2025-02-18 10:29:24] Application app7 created successfully for Grok (Backend: 5373, Frontend: 5873)
[2025-02-18 10:29:24] Application app8 created successfully for Grok (Backend: 5375, Frontend: 5875)
[2025-02-18 10:29:24] Application app9 created successfully for Grok (Backend: 5377, Frontend: 5877)
[2025-02-18 10:29:24] Application app10 created successfully for Grok (Backend: 5379, Frontend: 5879)
[2025-02-18 10:29:24] Application app11 created successfully for Grok (Backend: 5381, Frontend: 5881)
[2025-02-18 10:29:24] Application app12 created successfully for Grok (Backend: 5383, Frontend: 5883)
[2025-02-18 10:29:24] Application app13 created successfully for Grok (Backend: 5385, Frontend: 5885)
[2025-02-18 10:29:24] Application app14 created successfully for Grok (Backend: 5387, Frontend: 5887)
[2025-02-18 10:29:24] Application app15 created successfully for Grok (Backend: 5389, Frontend: 5889)
[2025-02-18 10:29:24] Application app16 created successfully for Grok (Backend: 5391, Frontend: 5891)
[2025-02-18 10:29:24] Application app17 created successfully for Grok (Backend: 5393, Frontend: 5893)
[2025-02-18 10:29:24] Application app18 created successfully for Grok (Backend: 5395, Frontend: 5895)
[2025-02-18 10:29:24] Application app19 created successfully for Grok (Backend: 5397, Frontend: 5897)
[2025-02-18 10:29:24] Application app20 created successfully for Grok (Backend: 5399, Frontend: 5899)
[2025-02-18 10:30:49] Application app1 created successfully for Grok (Backend: 5361, Frontend: 5861)
[2025-02-18 10:30:49] Application app2 created successfully for Grok (Backend: 5363, Frontend: 5863)
[2025-02-18 10:30:49] Application app3 created successfully for Grok (Backend: 5365, Frontend: 5865)
[2025-02-18 10:30:49] Application app4 created successfully for Grok (Backend: 5367, Frontend: 5867)
[2025-02-18 10:30:49] Application app5 created successfully for Grok (Backend: 5369, Frontend: 5869)
[2025-02-18 10:30:49] Application app6 created successfully for Grok (Backend: 5371, Frontend: 5871)
[2025-02-18 10:30:49] Application app7 created successfully for Grok (Backend: 5373, Frontend: 5873)
[2025-02-18 10:30:49] Application app8 created successfully for Grok (Backend: 5375, Frontend: 5875)
[2025-02-18 10:30:49] Application app9 created successfully for Grok (Backend: 5377, Frontend: 5877)
[2025-02-18 10:30:49] Application app10 created successfully for Grok (Backend: 5379, Frontend: 5879)
[2025-02-18 10:30:49] Application app11 created successfully for Grok (Backend: 5381, Frontend: 5881)
[2025-02-18 10:30:49] Application app12 created successfully for Grok (Backend: 5383, Frontend: 5883)
[2025-02-18 10:30:49] Application app13 created successfully for Grok (Backend: 5385, Frontend: 5885)
[2025-02-18 10:30:49] Application app14 created successfully for Grok (Backend: 5387, Frontend: 5887)
[2025-02-18 10:30:49] Application app15 created successfully for Grok (Backend: 5389, Frontend: 5889)
[2025-02-18 10:30:49] Application app16 created successfully for Grok (Backend: 5391, Frontend: 5891)
[2025-02-18 10:30:49] Application app17 created successfully for Grok (Backend: 5393, Frontend: 5893)
[2025-02-18 10:30:49] Application app18 created successfully for Grok (Backend: 5395, Frontend: 5895)
[2025-02-18 10:30:49] Application app19 created successfully for Grok (Backend: 5397, Frontend: 5897)
[2025-02-18 10:30:49] Application app20 created successfully for Grok (Backend: 5399, Frontend: 5899)
[2025-02-18 10:32:19] Created base directory: C:/Users/grabowmar/Desktop/ThesisAppsSvelte/Grok
[2025-02-18 10:32:19] Application app1 created successfully for Grok (Backend: 5361, Frontend: 5861)
[2025-02-18 10:32:19] Application app2 created successfully for Grok (Backend: 5363, Frontend: 5863)
[2025-02-18 10:32:19] Application app3 created successfully for Grok (Backend: 5365, Frontend: 5865)
[2025-02-18 10:32:19] Application app4 created successfully for Grok (Backend: 5367, Frontend: 5867)
[2025-02-18 10:32:19] Application app5 created successfully for Grok (Backend: 5369, Frontend: 5869)
[2025-02-18 10:32:19] Application app6 created successfully for Grok (Backend: 5371, Frontend: 5871)
[2025-02-18 10:32:19] Application app7 created successfully for Grok (Backend: 5373, Frontend: 5873)
[2025-02-18 10:32:19] Application app8 created successfully for Grok (Backend: 5375, Frontend: 5875)
[2025-02-18 10:32:19] Application app9 created successfully for Grok (Backend: 5377, Frontend: 5877)
[2025-02-18 10:32:19] Application app10 created successfully for Grok (Backend: 5379, Frontend: 5879)
[2025-02-18 10:32:19] Application app11 created successfully for Grok (Backend: 5381, Frontend: 5881)
[2025-02-18 10:32:19] Application app12 created successfully for Grok (Backend: 5383, Frontend: 5883)
[2025-02-18 10:32:19] Application app13 created successfully for Grok (Backend: 5385, Frontend: 5885)
[2025-02-18 10:32:19] Application app14 created successfully for Grok (Backend: 5387, Frontend: 5887)
[2025-02-18 10:32:19] Application app15 created successfully for Grok (Backend: 5389, Frontend: 5889)
[2025-02-18 10:32:19] Application app16 created successfully for Grok (Backend: 5391, Frontend: 5891)
[2025-02-18 10:32:19] Application app17 created successfully for Grok (Backend: 5393, Frontend: 5893)
[2025-02-18 10:32:19] Application app18 created successfully for Grok (Backend: 5395, Frontend: 5895)
[2025-02-18 10:32:19] Application app19 created successfully for Grok (Backend: 5397, Frontend: 5897)
[2025-02-18 10:32:19] Application app20 created successfully for Grok (Backend: 5399, Frontend: 5899)
[2025-02-18 10:41:51] Created base directory: C:/Users/grabowmar/Desktop/ThesisAppsSvelte/Grok
[2025-02-18 10:41:51] Error occurred in Grok: [Errno 2] No such file or directory: 'z_code_templates/frontend/src/App.css'
[2025-02-18 10:42:34] Created base directory: C:/Users/grabowmar/Desktop/ThesisAppsSvelte/Grok
[2025-02-18 10:42:34] Application app1 created successfully for Grok (Backend: 5361, Frontend: 5861)
[2025-02-18 10:42:34] Application app2 created successfully for Grok (Backend: 5363, Frontend: 5863)
[2025-02-18 10:42:34] Application app3 created successfully for Grok (Backend: 5365, Frontend: 5865)
[2025-02-18 10:42:34] Application app4 created successfully for Grok (Backend: 5367, Frontend: 5867)
[2025-02-18 10:42:34] Application app5 created successfully for Grok (Backend: 5369, Frontend: 5869)
[2025-02-18 10:42:34] Application app6 created successfully for Grok (Backend: 5371, Frontend: 5871)
[2025-02-18 10:42:34] Application app7 created successfully for Grok (Backend: 5373, Frontend: 5873)
[2025-02-18 10:42:34] Application app8 created successfully for Grok (Backend: 5375, Frontend: 5875)
[2025-02-18 10:42:34] Application app9 created successfully for Grok (Backend: 5377, Frontend: 5877)
[2025-02-18 10:42:34] Application app10 created successfully for Grok (Backend: 5379, Frontend: 5879)
[2025-02-18 10:42:34] Application app11 created successfully for Grok (Backend: 5381, Frontend: 5881)
[2025-02-18 10:42:34] Application app12 created successfully for Grok (Backend: 5383, Frontend: 5883)
[2025-02-18 10:42:34] Application app13 created successfully for Grok (Backend: 5385, Frontend: 5885)
[2025-02-18 10:42:34] Application app14 created successfully for Grok (Backend: 5387, Frontend: 5887)
[2025-02-18 10:42:34] Application app15 created successfully for Grok (Backend: 5389, Frontend: 5889)
[2025-02-18 10:42:34] Application app16 created successfully for Grok (Backend: 5391, Frontend: 5891)
[2025-02-18 10:42:34] Application app17 created successfully for Grok (Backend: 5393, Frontend: 5893)
[2025-02-18 10:42:34] Application app18 created successfully for Grok (Backend: 5395, Frontend: 5895)
[2025-02-18 10:42:34] Application app19 created successfully for Grok (Backend: 5397, Frontend: 5897)
[2025-02-18 10:42:34] Application app20 created successfully for Grok (Backend: 5399, Frontend: 5899)
