[2025-02-18 10:29:24] Application app1 created successfully for Mixtral (Backend: 5421, Frontend: 5921)
[2025-02-18 10:29:24] Application app2 created successfully for Mixtral (Backend: 5423, Frontend: 5923)
[2025-02-18 10:29:24] Application app3 created successfully for Mixtral (Backend: 5425, Frontend: 5925)
[2025-02-18 10:29:24] Application app4 created successfully for Mixtral (Backend: 5427, Frontend: 5927)
[2025-02-18 10:29:24] Application app5 created successfully for Mixtral (Backend: 5429, Frontend: 5929)
[2025-02-18 10:29:24] Application app6 created successfully for Mixtral (Backend: 5431, Frontend: 5931)
[2025-02-18 10:29:24] Application app7 created successfully for Mixtral (Backend: 5433, Frontend: 5933)
[2025-02-18 10:29:24] Application app8 created successfully for Mixtral (Backend: 5435, Frontend: 5935)
[2025-02-18 10:29:24] Application app9 created successfully for Mixtral (Backend: 5437, Frontend: 5937)
[2025-02-18 10:29:24] Application app10 created successfully for Mixtral (Backend: 5439, Frontend: 5939)
[2025-02-18 10:29:24] Application app11 created successfully for Mixtral (Backend: 5441, Frontend: 5941)
[2025-02-18 10:29:24] Application app12 created successfully for Mixtral (Backend: 5443, Frontend: 5943)
[2025-02-18 10:29:24] Application app13 created successfully for Mixtral (Backend: 5445, Frontend: 5945)
[2025-02-18 10:29:24] Application app14 created successfully for Mixtral (Backend: 5447, Frontend: 5947)
[2025-02-18 10:29:24] Application app15 created successfully for Mixtral (Backend: 5449, Frontend: 5949)
[2025-02-18 10:29:24] Application app16 created successfully for Mixtral (Backend: 5451, Frontend: 5951)
[2025-02-18 10:29:24] Application app17 created successfully for Mixtral (Backend: 5453, Frontend: 5953)
[2025-02-18 10:29:24] Application app18 created successfully for Mixtral (Backend: 5455, Frontend: 5955)
[2025-02-18 10:29:24] Application app19 created successfully for Mixtral (Backend: 5457, Frontend: 5957)
[2025-02-18 10:29:24] Application app20 created successfully for Mixtral (Backend: 5459, Frontend: 5959)
[2025-02-18 10:30:49] Application app1 created successfully for Mixtral (Backend: 5421, Frontend: 5921)
[2025-02-18 10:30:49] Application app2 created successfully for Mixtral (Backend: 5423, Frontend: 5923)
[2025-02-18 10:30:49] Application app3 created successfully for Mixtral (Backend: 5425, Frontend: 5925)
[2025-02-18 10:30:49] Application app4 created successfully for Mixtral (Backend: 5427, Frontend: 5927)
[2025-02-18 10:30:49] Application app5 created successfully for Mixtral (Backend: 5429, Frontend: 5929)
[2025-02-18 10:30:49] Application app6 created successfully for Mixtral (Backend: 5431, Frontend: 5931)
[2025-02-18 10:30:49] Application app7 created successfully for Mixtral (Backend: 5433, Frontend: 5933)
[2025-02-18 10:30:49] Application app8 created successfully for Mixtral (Backend: 5435, Frontend: 5935)
[2025-02-18 10:30:49] Application app9 created successfully for Mixtral (Backend: 5437, Frontend: 5937)
[2025-02-18 10:30:49] Application app10 created successfully for Mixtral (Backend: 5439, Frontend: 5939)
[2025-02-18 10:30:49] Application app11 created successfully for Mixtral (Backend: 5441, Frontend: 5941)
[2025-02-18 10:30:49] Application app12 created successfully for Mixtral (Backend: 5443, Frontend: 5943)
[2025-02-18 10:30:49] Application app13 created successfully for Mixtral (Backend: 5445, Frontend: 5945)
[2025-02-18 10:30:49] Application app14 created successfully for Mixtral (Backend: 5447, Frontend: 5947)
[2025-02-18 10:30:49] Application app15 created successfully for Mixtral (Backend: 5449, Frontend: 5949)
[2025-02-18 10:30:49] Application app16 created successfully for Mixtral (Backend: 5451, Frontend: 5951)
[2025-02-18 10:30:49] Application app17 created successfully for Mixtral (Backend: 5453, Frontend: 5953)
[2025-02-18 10:30:49] Application app18 created successfully for Mixtral (Backend: 5455, Frontend: 5955)
[2025-02-18 10:30:49] Application app19 created successfully for Mixtral (Backend: 5457, Frontend: 5957)
[2025-02-18 10:30:49] Application app20 created successfully for Mixtral (Backend: 5459, Frontend: 5959)
[2025-02-18 10:32:19] Created base directory: C:/Users/grabowmar/Desktop/ThesisAppsSvelte/Mixtral
[2025-02-18 10:32:19] Application app1 created successfully for Mixtral (Backend: 5421, Frontend: 5921)
[2025-02-18 10:32:19] Application app2 created successfully for Mixtral (Backend: 5423, Frontend: 5923)
[2025-02-18 10:32:19] Application app3 created successfully for Mixtral (Backend: 5425, Frontend: 5925)
[2025-02-18 10:32:19] Application app4 created successfully for Mixtral (Backend: 5427, Frontend: 5927)
[2025-02-18 10:32:19] Application app5 created successfully for Mixtral (Backend: 5429, Frontend: 5929)
[2025-02-18 10:32:19] Application app6 created successfully for Mixtral (Backend: 5431, Frontend: 5931)
[2025-02-18 10:32:19] Application app7 created successfully for Mixtral (Backend: 5433, Frontend: 5933)
[2025-02-18 10:32:19] Application app8 created successfully for Mixtral (Backend: 5435, Frontend: 5935)
[2025-02-18 10:32:19] Application app9 created successfully for Mixtral (Backend: 5437, Frontend: 5937)
[2025-02-18 10:32:19] Application app10 created successfully for Mixtral (Backend: 5439, Frontend: 5939)
[2025-02-18 10:32:19] Application app11 created successfully for Mixtral (Backend: 5441, Frontend: 5941)
[2025-02-18 10:32:20] Application app12 created successfully for Mixtral (Backend: 5443, Frontend: 5943)
[2025-02-18 10:32:20] Application app13 created successfully for Mixtral (Backend: 5445, Frontend: 5945)
[2025-02-18 10:32:20] Application app14 created successfully for Mixtral (Backend: 5447, Frontend: 5947)
[2025-02-18 10:32:20] Application app15 created successfully for Mixtral (Backend: 5449, Frontend: 5949)
[2025-02-18 10:32:20] Application app16 created successfully for Mixtral (Backend: 5451, Frontend: 5951)
[2025-02-18 10:32:20] Application app17 created successfully for Mixtral (Backend: 5453, Frontend: 5953)
[2025-02-18 10:32:20] Application app18 created successfully for Mixtral (Backend: 5455, Frontend: 5955)
[2025-02-18 10:32:20] Application app19 created successfully for Mixtral (Backend: 5457, Frontend: 5957)
[2025-02-18 10:32:20] Application app20 created successfully for Mixtral (Backend: 5459, Frontend: 5959)
[2025-02-18 10:41:51] Created base directory: C:/Users/grabowmar/Desktop/ThesisAppsSvelte/Mixtral
[2025-02-18 10:41:51] Error occurred in Mixtral: [Errno 2] No such file or directory: 'z_code_templates/frontend/src/App.css'
[2025-02-18 10:42:34] Created base directory: C:/Users/grabowmar/Desktop/ThesisAppsSvelte/Mixtral
[2025-02-18 10:42:34] Application app1 created successfully for Mixtral (Backend: 5421, Frontend: 5921)
[2025-02-18 10:42:34] Application app2 created successfully for Mixtral (Backend: 5423, Frontend: 5923)
[2025-02-18 10:42:34] Application app3 created successfully for Mixtral (Backend: 5425, Frontend: 5925)
[2025-02-18 10:42:34] Application app4 created successfully for Mixtral (Backend: 5427, Frontend: 5927)
[2025-02-18 10:42:34] Application app5 created successfully for Mixtral (Backend: 5429, Frontend: 5929)
[2025-02-18 10:42:34] Application app6 created successfully for Mixtral (Backend: 5431, Frontend: 5931)
[2025-02-18 10:42:34] Application app7 created successfully for Mixtral (Backend: 5433, Frontend: 5933)
[2025-02-18 10:42:34] Application app8 created successfully for Mixtral (Backend: 5435, Frontend: 5935)
[2025-02-18 10:42:34] Application app9 created successfully for Mixtral (Backend: 5437, Frontend: 5937)
[2025-02-18 10:42:34] Application app10 created successfully for Mixtral (Backend: 5439, Frontend: 5939)
[2025-02-18 10:42:34] Application app11 created successfully for Mixtral (Backend: 5441, Frontend: 5941)
[2025-02-18 10:42:34] Application app12 created successfully for Mixtral (Backend: 5443, Frontend: 5943)
[2025-02-18 10:42:34] Application app13 created successfully for Mixtral (Backend: 5445, Frontend: 5945)
[2025-02-18 10:42:34] Application app14 created successfully for Mixtral (Backend: 5447, Frontend: 5947)
[2025-02-18 10:42:34] Application app15 created successfully for Mixtral (Backend: 5449, Frontend: 5949)
[2025-02-18 10:42:34] Application app16 created successfully for Mixtral (Backend: 5451, Frontend: 5951)
[2025-02-18 10:42:34] Application app17 created successfully for Mixtral (Backend: 5453, Frontend: 5953)
[2025-02-18 10:42:34] Application app18 created successfully for Mixtral (Backend: 5455, Frontend: 5955)
[2025-02-18 10:42:34] Application app19 created successfully for Mixtral (Backend: 5457, Frontend: 5957)
[2025-02-18 10:42:34] Application app20 created successfully for Mixtral (Backend: 5459, Frontend: 5959)
