[2025-02-18 10:29:24] Application app1 created successfully for Qwen (Backend: 5541, Frontend: 6041)
[2025-02-18 10:29:24] Application app2 created successfully for Qwen (Backend: 5543, Frontend: 6043)
[2025-02-18 10:29:24] Application app3 created successfully for Qwen (Backend: 5545, Frontend: 6045)
[2025-02-18 10:29:24] Application app4 created successfully for Qwen (Backend: 5547, Frontend: 6047)
[2025-02-18 10:29:24] Application app5 created successfully for Qwen (Backend: 5549, Frontend: 6049)
[2025-02-18 10:29:24] Application app6 created successfully for Qwen (Backend: 5551, Frontend: 6051)
[2025-02-18 10:29:24] Application app7 created successfully for Qwen (Backend: 5553, Frontend: 6053)
[2025-02-18 10:29:24] Application app8 created successfully for Qwen (Backend: 5555, Frontend: 6055)
[2025-02-18 10:29:24] Application app9 created successfully for Qwen (Backend: 5557, Frontend: 6057)
[2025-02-18 10:29:24] Application app10 created successfully for Qwen (Backend: 5559, Frontend: 6059)
[2025-02-18 10:29:24] Application app11 created successfully for Qwen (Backend: 5561, Frontend: 6061)
[2025-02-18 10:29:24] Application app12 created successfully for Qwen (Backend: 5563, Frontend: 6063)
[2025-02-18 10:29:24] Application app13 created successfully for Qwen (Backend: 5565, Frontend: 6065)
[2025-02-18 10:29:24] Application app14 created successfully for Qwen (Backend: 5567, Frontend: 6067)
[2025-02-18 10:29:24] Application app15 created successfully for Qwen (Backend: 5569, Frontend: 6069)
[2025-02-18 10:29:24] Application app16 created successfully for Qwen (Backend: 5571, Frontend: 6071)
[2025-02-18 10:29:24] Application app17 created successfully for Qwen (Backend: 5573, Frontend: 6073)
[2025-02-18 10:29:24] Application app18 created successfully for Qwen (Backend: 5575, Frontend: 6075)
[2025-02-18 10:29:24] Application app19 created successfully for Qwen (Backend: 5577, Frontend: 6077)
[2025-02-18 10:29:24] Application app20 created successfully for Qwen (Backend: 5579, Frontend: 6079)
[2025-02-18 10:30:49] Application app1 created successfully for Qwen (Backend: 5541, Frontend: 6041)
[2025-02-18 10:30:49] Application app2 created successfully for Qwen (Backend: 5543, Frontend: 6043)
[2025-02-18 10:30:49] Application app3 created successfully for Qwen (Backend: 5545, Frontend: 6045)
[2025-02-18 10:30:49] Application app4 created successfully for Qwen (Backend: 5547, Frontend: 6047)
