Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1742308376,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1742308377,2,,Aggregated,0.000000,0.000000,54,54,54,54,54,54,54,54,54,54,54,1,0,53.955699997459305,53.955699997459305,53.955699997459305,53.955699997459305,626.0
1742308378,3,,Aggregated,0.000000,0.000000,54,54,54,54,54,54,54,54,54,54,54,2,0,8.445999999821652,31.20084999864048,8.445999999821652,53.955699997459305,626.0
1742308379,4,,Aggregated,1.000000,0.000000,7,8,8,54,54,54,54,54,54,54,54,5,0,7,16.161559999454767,4.798400001163827,53.955699997459305,626.0
1742308380,5,,Aggregated,1.000000,0.000000,7,7,8,8,54,54,54,54,54,54,54,6,0,7,14.546933332894696,4.798400001163827,53.955699997459305,626.0
1742308381,6,,Aggregated,1.000000,0.000000,7,7,7,8,54,54,54,54,54,54,54,9,0,7,11.42601111092113,3.744500001630513,53.955699997459305,626.0
1742308382,7,,Aggregated,1.500000,0.000000,7,7,8,8,9,54,54,54,54,54,54,12,0,6,10.327925000031732,3.744500001630513,53.955699997459305,626.0
1742308384,8,,Aggregated,1.400000,0.000000,7,7,7,8,9,54,54,54,54,54,54,14,0,6,9.587321428625728,3.736300001037307,53.955699997459305,626.0
1742308385,9,,Aggregated,1.500000,0.000000,5,6,7,7,8,9,54,54,54,54,54,21,0,5,7.937866666560738,3.736300001037307,53.955699997459305,626.0
1742308386,10,,Aggregated,1.714286,0.000000,5,6,7,7,8,9,54,54,54,54,54,27,0,5,7.159348147979472,3.062399999180343,53.955699997459305,626.0
1742308387,10,,Aggregated,1.750000,0.000000,5,6,7,7,7,9,54,54,54,54,54,32,0,5,6.737118749924775,3.062399999180343,53.955699997459305,626.0
1742308388,10,,Aggregated,2.333333,0.000000,5,5,6,7,7,9,54,54,54,54,54,39,0,5,6.2078102562689965,2.9493999973055907,53.955699997459305,626.0
1742308389,10,,Aggregated,2.700000,0.000000,5,5,6,7,7,9,54,54,54,54,54,45,0,5,6.130899999940691,2.9493999973055907,53.955699997459305,626.0
1742308390,10,,Aggregated,3.100000,0.000000,5,5,6,6,7,9,54,54,54,54,54,50,0,5,5.9352639998542145,2.9493999973055907,53.955699997459305,626.0
1742308391,10,,Aggregated,3.700000,0.000000,5,5,5,6,7,9,13,54,54,54,54,54,0,4,5.730711110892891,2.6480999986233655,53.955699997459305,626.0
1742308392,10,,Aggregated,4.200000,0.000000,4,5,5,6,7,9,13,54,54,54,54,60,0,4,5.555178333088406,2.6480999986233655,53.955699997459305,626.0
1742308393,10,,Aggregated,4.400000,0.000000,4,5,5,6,7,8,13,54,54,54,54,64,0,4,5.425487499792325,2.6480999986233655,53.955699997459305,626.0
1742308394,10,,Aggregated,4.700000,0.000000,4,5,5,5,7,8,13,54,54,54,54,68,0,4,5.336507352748252,2.6480999986233655,53.955699997459305,626.0
1742308395,10,,Aggregated,5.100000,0.000000,4,5,5,5,7,8,13,54,54,54,54,74,0,4,5.273944594444254,2.6480999986233655,53.955699997459305,626.0
1742308396,10,,Aggregated,5.200000,0.000000,4,5,5,5,7,8,13,54,54,54,54,77,0,4,5.196087012844547,2.6480999986233655,53.955699997459305,626.0
1742308397,10,,Aggregated,5.400000,0.000000,4,5,5,5,7,8,13,54,54,54,54,85,0,4,5.11137764697196,2.6480999986233655,53.955699997459305,626.0
1742308398,10,,Aggregated,5.000000,0.000000,4,5,5,5,7,8,13,54,54,54,54,90,0,4,5.029037777704717,2.6480999986233655,53.955699997459305,626.0
1742308399,10,,Aggregated,5.300000,0.000000,4,5,5,5,7,8,13,54,54,54,54,93,0,4,5.001597849425912,2.6480999986233655,53.955699997459305,626.0
1742308400,10,,Aggregated,5.300000,0.000000,4,5,5,5,7,8,13,54,54,54,54,100,0,4,4.9468419999902835,2.6480999986233655,53.955699997459305,626.0
1742308401,10,,Aggregated,5.000000,0.000000,4,5,5,5,7,7,9,13,54,54,54,103,0,4,4.9236194174880845,2.6480999986233655,53.955699997459305,626.0
1742308402,10,,Aggregated,5.000000,0.000000,4,5,5,5,7,8,13,22,54,54,54,109,0,4,5.0461688073266,2.6480999986233655,53.955699997459305,626.0
